permutation_i,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
66,6746,6811,6939,7053,7127,7045,6859,6618,6516,6520,6625,6841,6973,7048,6893,6550,6007,5350,4767,4476,4710,5055,5507,5835,5913
67,6833,6505,6493,6594,6615,6596,6397,5897,5469,5250,5504,5914,5927,5635,5107,4737,4890,5198,5614,5849,6044,6033,5566,4825,4233
68,6043,6047,6267,6552,6838,7017,6966,6769,6318,5488,4401,3843,3915,4230,5088,5818,6195,5965,5535,4877,4148,3618,3768,4174,4586
69,4818,5818,6720,7422,7920,8035,8024,7911,7725,7293,6085,3945,3079,3085,3454,3616,3713,3863,4038,4775,5337,5883,6121,6209,5905
70,5867,5466,5672,6232,6627,6824,6797,6623,6398,6036,5639,5161,4707,4525,4484,4822,5550,5982,6069,5799,5208,4783,4886,5247,5547
71,6992,7130,7193,7119,7002,6855,6549,6097,5787,5529,5553,5854,6065,6008,5499,4770,4348,4293,4817,5212,5593,5921,6055,5629,4862
72,6032,6802,7459,7770,7873,7768,7426,6806,6103,5647,5606,5922,6321,6494,6535,6507,6519,6480,6047,5058,4517,4857,5577,6177,6391
73,6511,6321,6268,6364,6511,6737,6888,6901,6734,6468,6140,5891,5689,5720,5835,5961,6037,6189,6274,6361,6218,6178,6240,6337,6357
74,6982,6439,6125,6030,6244,6275,6344,6310,6218,5911,5566,5309,5070,4894,4791,4573,4301,4323,4765,5175,5400,5575,5689,5702,5781
75,6457,6663,6976,7218,7227,6916,6434,5934,5813,5951,6282,6436,6220,4902,2908,2155,3135,5683,6653,7106,7322,7247,6824,5537,3354
76,6311,6679,7097,7226,7210,7086,6932,6629,6207,5604,5186,5125,5402,5497,5539,5601,5696,5804,5804,5656,5610,5554,5336,5162,4917
77,6753,6829,6908,6856,6689,6398,6004,5416,4920,4811,5080,5322,5789,5970,5976,5824,5406,4865,4468,4275,4430,4638,5039,5204,5335
78,7080,6974,6896,6839,6767,6694,6670,6559,6466,6378,6126,5783,5155,4756,4888,5830,6732,7089,7282,7232,6885,6075,4637,3611,4138
79,6708,6828,7004,7092,6963,6303,5087,3952,3646,4016,4968,5665,5922,5811,5209,4152,3165,3103,3915,4909,5863,6208,6217,5992,5298
